epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7872,0.37009,0.34051,0.83513,0.98353,0.84483,0.95037,0.83053,0.50237,0.44999,0.91521,0.00010002,0.00010002,0.00010002
2,23.6573,0.38294,0.33301,0.83341,0.91814,0.871,0.93887,0.83226,0.4853,0.48013,0.90519,0.000214565,0.000214565,0.000214565
3,26.5741,0.38932,0.33864,0.8453,0.93128,0.86207,0.92893,0.82746,0.52207,0.49074,0.91612,0.000326799,0.000326799,0.000326799
4,29.4824,0.40975,0.35687,0.84486,0.93432,0.87001,0.93165,0.82286,0.52843,0.4623,0.92226,0.000436722,0.000436722,0.000436722
5,32.4124,0.41648,0.3564,0.85817,0.88617,0.89275,0.92186,0.81371,0.55289,0.50809,0.91975,0.000544336,0.000544336,0.000544336
6,35.2643,0.40621,0.35776,0.86214,0.90949,0.86207,0.92085,0.79824,0.54716,0.50383,0.91879,0.000649638,0.000649638,0.000649638
7,37.9168,0.41478,0.38189,0.84518,0.94568,0.87279,0.94185,0.80023,0.58573,0.50442,0.9566,0.00075263,0.00075263,0.00075263
8,40.7589,0.47753,0.40464,0.86705,0.92801,0.86207,0.93267,0.80796,0.57054,0.51166,0.94402,0.000853312,0.000853312,0.000853312
9,43.6096,0.4626,0.40764,0.87537,0.91234,0.8448,0.89331,0.77566,0.51366,0.61175,0.89932,0.000951684,0.000951684,0.000951684
10,46.4379,0.4943,0.42313,0.88206,0.95106,0.84483,0.92464,0.79857,0.5364,0.56801,0.90087,0.00104774,0.00104774,0.00104774
11,49.3049,0.4664,0.40577,0.87776,0.91581,0.86207,0.91441,0.78274,0.55931,0.73964,0.93246,0.00114149,0.00114149,0.00114149
12,52.1446,0.47088,0.40658,0.87826,0.93556,0.87916,0.90898,0.78272,0.56175,0.56952,0.92773,0.00123293,0.00123293,0.00123293
